preprocessedSmiles;Molecule ChEMBL ID;y_true_label
Nc1nc2c(cnn2CCc2ccc(O)cc2)c2nc(-c3ccco3)nn12;CHEMBL67994;1
Cc1ccc(C(=O)c2nc(NC(C)c3ccccn3)nc3ccsc23)s1;CHEMBL1077915;1
O=C(c1ccsc1)c1nc(NCc2cccnc2)nc2ccsc12;CHEMBL1079132;1
O=C(N=c1cc1)C1NC(NCc2cccnc2)Nc2ccsc21;CHEMBL1076503;1
Cc1ccc(-c2nc(N)c3nn(Cc4ccccc4)cc3n2)o1;CHEMBL3798754;1
Nc1nc(NCc2ccccc2)nc2sc(-c3ccco3)nc12;CHEMBL3950142;1
COc1ccc(N2CCN(CCn3c(=O)cnc4c(-c5ccc(C)o5)nc(N)nc43)CC2)cn1;CHEMBL5093742;1
Cc1ccc(-c2nc(N)nc3c2ncc(=O)n3CCN2CCN(c3ccc(F)cc3Cl)CC2)o1;CHEMBL5078193;1
Cc1[nH]c2nc(-c3ccccc3)nc(NCCN3CCNC3=O)c2c1C;CHEMBL82197;1
Nc1nc(OCCc2ccccc2)nc2nc(-c3ccco3)nn12;CHEMBL2381761;1
CCNC(=O)C1OC(n2cnc3c(NCCCCc4ccccc4)ncnc32)C(O)C1O;CHEMBL4861092;0
CCn1nc(-c2cccc(-c3ccc(CC(=O)NCCN4CCCCC4)cc3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O;CHEMBL3905929;1
CCn1nc(-c2cccc(-c3cccc(C(=O)NCCN4CCCCC4)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O;CHEMBL3941513;1
CCn1nc(-c2cccc(-c3cccc(C(=O)NC4CC4)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O;CHEMBL3952586;1
CCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1;CHEMBL197669;1
Nc1nc(NCCc2ccc(Br)cc2)nc2nc(-c3ccco3)nn12;CHEMBL2381760;1
CC(=O)Nc1cc(-c2cccc(N3CCC(O)CC3)n2)nc(-n2nc(C)cc2C)n1;CHEMBL521223;1
O=[N+]([O-])c1cc(O)c2c(c1)S(=O)(=O)N=C(Nc1ccccc1Oc1ccccc1)N2;CHEMBL399203;0
COc1cccc(-c2cn3c(nc4ccccc43)c(N)n2)c1;CHEMBL4846301;1
CCCN(CCCNc1nc(Oc2ccc(CCNc3nc(N)n4nc(-c5ccco5)nc4n3)cc2)nc(N2CCOCC2)n1)CCc1cccc2[nH]c(O)cc12;CHEMBL3394262;1
CCCN(CCCNC(=O)CCCNC(=O)CCCOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1)CCc1cccc2[nH]c(O)cc12;CHEMBL3394257;1
Cc1[nH]c2nc(-c3ccccc3)nc(NC3CCCCNC3=O)c2c1C;CHEMBL312503;0
COc1cc(F)cc2c1nc(C)c1c(C)nc(-c3ccncc3C)n12;CHEMBL1916113;0
Cc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12;CHEMBL339655;1
